"","x","n"
"1",0.2,1.99160849437115
"2",0.4,2.16921077515912
"3",0.6,2.28278027974552
"4",0.8,2.36697676651506
"5",1,2.43408190073679
"6",1.2,2.48988367744792
"7",1.6,2.57926564924927
"8",1.8,2.61618676392493
"9",2,2.64931345761769
"10",2.2,2.6793324906758
"11",2.4,2.70676063220828
"12",2.6,2.73199707780207
"13",2.8,2.75535585230085
"14",3,2.77708846460428
"15",3.2,2.79739919416675
"16",3.4,2.81645612971715
"17",3.6,2.83439905901551
"18",3.8,2.85134547215225
"19",4,2.86739487399196
"20",4.2,2.88263221200807
"21",4.4,2.89713101089512
"22",4.6,2.91095428290702
"23",4.8,2.92415734641708
"24",5,2.93678861940487
"25",5.2,2.94889068569544
"26",5.4,2.96050116785137
"27",5.6,2.97165370635925
"28",5.8,2.98237805882495
"29",6,2.99270091084759
"30",6.2,3.00264665307833
"31",6.4,3.01223671239045
"32",6.6,3.02149064880958
"33",6.8,3.03042649018008
"34",7,3.03906067544158
"35",7.2,3.04740710826672
"36",7.4,3.05547978348839
"37",7.6,3.06329111810305
"38",7.8,3.07085236775057
"39",8,3.07817392266661
"40",8.2,3.08526567790893
"41",8.4,3.09213661331251
"42",8.6,3.09879470588671
"43",8.8,3.10524760778059
"44",9,3.1115025276586
"45",9.2,3.11756603025605
"46",9.4,3.12344402626505
"47",9.6,3.12914243351078
"48",9.8,3.13466650187153
"49",10,3.14002120849037
